DATE,age_category,percent_positive_7d_avg
2020-05-01,0to13,0.0346
2020-05-02,0to13,0.0355
2020-05-03,0to13,0.0365
2020-05-04,0to13,0.0364
2020-05-05,0to13,0.0354
2020-05-06,0to13,0.0326
2020-05-07,0to13,0.0345
2020-05-08,0to13,0.0292
2020-05-09,0to13,0.0264
2020-05-10,0to13,0.0300
2020-05-11,0to13,0.0332
2020-05-12,0to13,0.0340
2020-05-13,0to13,0.0333
2020-05-14,0to13,0.0328
2020-05-15,0to13,0.0318
2020-05-16,0to13,0.0334
2020-05-17,0to13,0.0339
2020-05-18,0to13,0.0329
2020-05-19,0to13,0.0316
2020-05-20,0to13,0.0329
2020-05-21,0to13,0.0340
2020-05-22,0to13,0.0366
2020-05-23,0to13,0.0373
2020-05-24,0to13,0.0366
2020-05-25,0to13,0.0380
2020-05-26,0to13,0.0410
2020-05-27,0to13,0.0369
2020-05-28,0to13,0.0346
2020-05-29,0to13,0.0309
2020-05-30,0to13,0.0301
2020-05-31,0to13,0.0282
2020-06-01,0to13,0.0249
2020-06-02,0to13,0.0254
2020-06-03,0to13,0.0282
2020-06-04,0to13,0.0287
2020-06-05,0to13,0.0292
2020-06-06,0to13,0.0270
2020-06-07,0to13,0.0277
2020-06-08,0to13,0.0260
2020-06-09,0to13,0.0248
2020-06-10,0to13,0.0239
2020-06-11,0to13,0.0253
2020-06-12,0to13,0.0248
2020-06-13,0to13,0.0248
2020-06-14,0to13,0.0247
2020-06-15,0to13,0.0277
2020-06-16,0to13,0.0251
2020-06-17,0to13,0.0230
2020-06-18,0to13,0.0207
2020-06-19,0to13,0.0214
2020-06-20,0to13,0.0216
2020-06-21,0to13,0.0206
2020-06-22,0to13,0.0182
2020-06-23,0to13,0.0162
2020-06-24,0to13,0.0175
2020-06-25,0to13,0.0178
2020-06-26,0to13,0.0166
2020-06-27,0to13,0.0165
2020-06-28,0to13,0.0146
2020-06-29,0to13,0.0132
2020-06-30,0to13,0.0140
2020-07-01,0to13,0.0123
2020-07-02,0to13,0.0102
2020-07-03,0to13,0.0090
2020-07-04,0to13,0.0097
2020-07-05,0to13,0.0099
2020-07-06,0to13,0.0109
2020-07-07,0to13,0.0103
2020-07-08,0to13,0.0108
2020-07-09,0to13,0.0111
2020-07-10,0to13,0.0125
2020-07-11,0to13,0.0115
2020-07-12,0to13,0.0112
2020-07-13,0to13,0.0103
2020-07-14,0to13,0.0102
2020-07-15,0to13,0.0108
2020-07-16,0to13,0.0106
2020-07-17,0to13,0.0108
2020-07-18,0to13,0.0104
2020-07-19,0to13,0.0107
2020-07-20,0to13,0.0112
2020-07-21,0to13,0.0131
2020-07-22,0to13,0.0134
2020-07-23,0to13,0.0138
2020-07-24,0to13,0.0137
2020-07-25,0to13,0.0141
2020-07-26,0to13,0.0141
2020-07-27,0to13,0.0137
2020-07-28,0to13,0.0121
2020-07-29,0to13,0.0104
2020-07-30,0to13,0.0095
2020-07-31,0to13,0.0093
2020-08-01,0to13,0.0092
2020-08-02,0to13,0.0100
2020-08-03,0to13,0.0102
2020-08-04,0to13,0.0084
2020-08-05,0to13,0.0086
2020-08-06,0to13,0.0089
2020-08-07,0to13,0.0079
2020-08-08,0to13,0.0075
2020-08-09,0to13,0.0067
2020-08-10,0to13,0.0062
2020-08-11,0to13,0.0075
2020-08-12,0to13,0.0068
2020-08-13,0to13,0.0097
2020-08-14,0to13,0.0091
2020-08-15,0to13,0.0086
2020-08-16,0to13,0.0086
2020-08-17,0to13,0.0087
2020-08-18,0to13,0.0081
2020-08-19,0to13,0.0091
2020-08-20,0to13,0.0063
2020-08-21,0to13,0.0064
2020-08-22,0to13,0.0067
2020-08-23,0to13,0.0067
2020-08-24,0to13,0.0080
2020-08-25,0to13,0.0084
2020-08-26,0to13,0.0080
2020-08-27,0to13,0.0077
2020-08-28,0to13,0.0085
2020-08-29,0to13,0.0083
2020-08-30,0to13,0.0082
2020-08-31,0to13,0.0068
2020-09-01,0to13,0.0076
2020-09-02,0to13,0.0071
2020-09-03,0to13,0.0083
2020-09-04,0to13,0.0088
2020-09-05,0to13,0.0090
